target,model,threshold,precision,recall,f1,predicted_delayed_rate,actual_delayed_rate,difference_from_actual_rate
delayed,logistic_regression,0.1,0.5372987807523756,0.9994753674949807,0.6988885087109734,0.9972846958534818,0.5361211177100574,0.46116357814342435
delayed,logistic_regression,0.2,0.5407362010188839,0.9969934521827739,0.7011771551020698,0.9884842977531129,0.5361211177100574,0.4523631800430554
delayed,logistic_regression,0.3,0.5482537841184147,0.9917874834791206,0.7061515198316207,0.9698395698785145,0.5361211177100574,0.43371845216845706
delayed,logistic_regression,0.4,0.5571635394950197,0.9706811142387279,0.7079621923715126,0.9340213546230487,0.5361211177100574,0.39790023691299126
delayed,logistic_regression,0.5,0.5687326538055001,0.9282867721985129,0.7053308598062064,0.8750581464533368,0.5361211177100574,0.33893702874327936
delayed,logistic_regression,0.6,0.5853468013468014,0.8769837666596043,0.7020842672352867,0.8032324019082855,0.5361211177100574,0.26711128419822805
delayed,logistic_regression,0.7,0.6030968654616466,0.7914182229082801,0.6845416783021503,0.7035288135959931,0.5361211177100574,0.16740769588593563
delayed,logistic_regression,0.8,0.6193789287057433,0.6978722116286813,0.6562869138262293,0.6040632200694512,0.5361211177100574,0.0679421023593938
delayed,logistic_regression,0.9,0.669434991627505,0.5001462917562073,0.572538964826268,0.400545224418265,0.5361211177100574,0.13557589329179243
delayed,random_forest,0.1,0.5361211177100574,1.0,0.6980193313262557,1.0,0.5361211177100574,0.46387888228994256
delayed,random_forest,0.2,0.5361211177100574,1.0,0.6980193313262557,1.0,0.5361211177100574,0.46387888228994256
delayed,random_forest,0.3,0.5375136272664652,0.9998587527871102,0.6991639916751914,0.9972684689362715,0.5361211177100574,0.4611473512262141
delayed,random_forest,0.4,0.5449945650074766,0.9965091760242946,0.7046263599072587,0.9802842955895239,0.5361211177100574,0.44416317787946646
delayed,random_forest,0.5,0.5696192635446798,0.9556181078926925,0.713775433308214,0.8994201581583531,0.5361211177100574,0.36329904044829564
delayed,random_forest,0.6,0.5972956676623674,0.869497664376444,0.7081395539925391,0.7804444011726652,0.5361211177100574,0.2443232834626078
delayed,random_forest,0.7,0.6643742744822608,0.6871374234490552,0.6755641521598968,0.5544899879920813,0.5361211177100574,0.01836887028202383
delayed,random_forest,0.8,0.7730891073024124,0.1920457640969763,0.30766371152183225,0.13317971851707613,0.5361211177100574,0.40294139919298133
delayed,random_forest,0.9,0.0,0.0,0.0,0.0,0.5361211177100574,0.5361211177100574
